"name","symbol","keyword","flowering_time_effect","conditions_for_effect","phenotype","agi","appears_in","key_articles"
"AGAMOUS-LIKE 24","AGL24","Flower development and meristem identity Flowering time integrator","Positive","SD and LD","Single mutant: agl24 single mutant is late flowering under both SD and LD conditions. ( agl24 mutation enhances the late-flowering phenotype of soc1;ful double mutant under LD conditions.)[Yu et al., 2002][Michaels et al., 2003][Torti et al., 2012] Overexpressor: AGL24 overexpressor is early flowering under LD conditions. [Liu et al., 2008][Yu et al., 2002][Michaels et al., 2003] Remarks: AGL24 interacts with SOC1, AP1, and SVP through MADS-box domain and promotes inflorescence fate in apical meristems.[Yu et al., 2004][Liu et al., 2007][Gregis et al., 2006][Gregis et al., 2008] RNA interference : RNAi downregulation of AGL24 leads to late flowering under both SD and LD conditions. [Yu et al., 2002]","AT4G24540","OverviewMains targets of ABC(E)genesSpecification of flower mersitemsVernalization","Yu H et al., 2002, Proc. Natl. Acad. Sci. U.S.A.Michaels S D et al., 2003, Plant J.Yu H et al., 2004, Nat. Genet.de Folter S et al., 2005, Plant CellGregis V et al., 2006, Plant CellLiu C et al., 2007, DevelopmentLiu C et al., 2008, DevelopmentGregis V et al., 2009, Plant J.Torti S et al., 2012, Plant Signal Behav"
"AGAMOUS-LIKE 42, FOREVER YOUNG FLOWER","AGL42, FYF","Flower development and meristem identity","Positive","SD and LD","Single mutant: agl42 single mutant does not display any flowering-time phenotype under LD conditions. However, agl42 is perhaps slightly late flowering under SD conditions, but additional experiments are recquired to confirm or invalidate this hypothesis. [Dorca-Fornell et al., 2011] Multiple mutant: The combination of agl42 null mutation with artifical microRNA knockdowns of both AGL71 and AGL72 leads to a late-flowering phenotype under both SD and LD conditions. Single mutant does not display any flowering-time phenotype. [Dorca-Fornell et al., 2011]","AT5G62165",,"Blakeslee J J et al., 2008, Plant Physiol.Hacham Y et al., 2011, DevelopmentDorca-Fornell C et al., 2011, Plant J.Chen M et al., 2011, Plant J."
"AGAMOUS-LIKE 6","AGL6","General","Positive","SD and LD","Overexpressor: AGL6 overexpressor is early flowering under both SD and LD conditions.[Yoo et al., 2011] artificial microRNA: Downregulation of AGL6 by an artificial microRNA leads to a late-flowering phenotype under LD conditions. ( No data under SD conditions. Strangely, the effect of the amiRNA seems to be suppressed after a few generations. )[Yoo et al., 2011] Remarks: AGL6 overexpressor has lower FLC and MAF levels. [Yoo et al., 2011]","AT2G45650","General processes & autonomous pathway","Ma H et al., 1991, Genes Dev.Koo S C et al., 2010, Plant J.Yoo S K et al., 2011, Plant J.Huang X et al., 2012, Plant Cell"
"AGAMOUS-LIKE 71","AGL71","Flower development and meristem identity","Positive","SD and LD","Single mutant: agl71 single mutant does not display any flowering-time phenotype. [Dorca-Fornell et al., 2011] Multiple mutant: The combination of agl42 null mutation with an articificial microRNA knockdown of both AGL71 and AGL72 leads to a late-flowering phenotype under both SD and LD conditions. Single mutants does not display any flowering-time phenotype. [Dorca-Fornell et al., 2011]","AT5G51870",,"Helliwell C A et al., 2006, Plant J.Dorca-Fornell C et al., 2011, Plant J."
"AGAMOUS-LIKE 72","AGL72","Flower development and meristem identity","Positive","SD and LD","Single mutant: agl72 single mutant does not display any flowering-time phenotype. [Dorca-Fornell et al., 2011] Multiple mutant: The combination of agl42 null mutation with an articificial microRNA knockdown of both AGL71 and AGL72 leads to a late-flowering phenotype under both SD and LD conditions. Single mutants does not display any flowering-time phenotype. [Dorca-Fornell et al., 2011]","AT5G51860",,"Helliwell C A et al., 2006, Plant J.Dorca-Fornell C et al., 2011, Plant J."
"ALTERED PHLOEM DEVELOPMENT, WOODY, FE","APL, WDY, FE","Photoperiodism, light perception and  signaling","Positive","LD only","Remarks: fe single mutant shows lower FT expression levels and attenuated long-distance transport of FT. [Abe et al., 2015] Single mutant: fe single mutant is late flowering under LD conditions.[Abe et al., 2015][Koornneef et al., 1991] Remarks: The flowering time acceleration by a SD to LD shift is altered in the fe mutant. [Abe et al., 2015]","AT1G79430","Photoperiod pathway","Koornneef M et al., 1991, Mol. Gen. Genet.Koornneef M et al., 1998, GeneticsBonke M et al., 2003, NatureAbe M et al., 2015, Plant J."
"APETALA1","AP1","Flower development and meristem identity",,"None","Single mutant: ap1 single mutant shows abnormal flower development: sepals are converted into bracts. [Irish et al., 1990] Overexpressor: AP1 overexpressor is early flowering and shows transformation of apical and lateral shoots into flowers. [Mandel et al., 1995]","AT1G69120","OverviewTemperature pathwayAging pathwayPhotoperiod pathwaySugar pathwayMains targets of ABC(E)genesKinetics of ABC(E) genes expressionSpecification of flower mersitemsVernalization","Koornneef M et al., 1982, Mutat. Res.Irish V F et al., 1990, Plant CellMandel M A et al., 1992, NatureGustafson-Brown C et al., 1994, CellMandel M A et al., 1995, NatureMandel M A et al., 1995, Plant CellSimon R et al., 1996, NatureCho S et al., 1999, Plant Mol. Biol.Peña L et al., 2001, Nat. Biotechnol.Gregis V et al., 2009, Plant J.Han Y et al., 2014, Proc. Natl. Acad. Sci. U.S.A."
"APETALA2","AP2","Flower development and meristem identity","Negative","SD and LD","Single mutant: ap2 single mutant is early flowering under both SD and LD conditions and shows abnormal flower development: sepals are converted into ovule-bearing carpels. [Bowman et al., 1989][Drews et al., 1991][ et al., ][Yant et al., 2010] Overexpressor: AP2 overexpressor is slightly late flowering under LD conditions.(No data available under SD conditions.)[Chen et al., 2004] Remarks: In weak ap2 mutants, sepals are homeotically transformed into leaves and petals are transformed into pollen-producing stamenoid organs. In strong ap2 mutants, sepals are transformed into ovule-bearing carpels, petal development is suppressed, the number of stamens is reduced, and carpel fusion is often defective.","AT4G36920","Aging pathwayPhotoperiod pathwayTime-course regulation of photoperiodic pathwayMains targets of ABC(E)genesKinetics of ABC(E) genes expressionSpecification of flower mersitems","Bowman J L et al., 1989, Plant CellDrews G N et al., 1991, CellJack T et al., 1994, CellJofuku K D et al., 1994, Plant CellWeigel D et al., 1995, Plant CellWilson K et al., 1996, Plant CellOkamuro J K et al., 1997, Proc. Natl. Acad. Sci. U.S.A.Finkelstein R R et al., 1998, Plant CellAukerman M J et al., 2003, Plant CellChen X et al., 2004, Science"
"APETALA3","AP3","Flower development and meristem identity",,"None","Single mutant: ap3 single mutant shows abnormal flower development. [Bowman et al., 1989] Overexpressor: AP3o overexpressor shows abnormal flower development: carpels are converted into stamens. [Jack et al., 1994]","AT3G54340","Mains targets of ABC(E)genesKinetics of ABC(E) genes expressionVernalization","Bowman J L et al., 1989, Plant CellSchultz E A et al., 1991, Plant CellBowman J L et al., 1991, DevelopmentJack T et al., 1992, CellKrizek B A et al., 1996, DevelopmentRiechmann J L et al., 1996, Nucleic Acids Res.Riechmann J L et al., 1997, Mol. Biol. CellHill T A et al., 1998, DevelopmentTilly J J et al., 1998, DevelopmentYang Y et al., 2003, Plant J.Zhao L et al., 2007, Plant J.Wuest S E et al., 2012, Proc. Natl. Acad. Sci. U.S.A."
"ARABIDOPSIS ASH2 RELATIVE, TRAUCO","ASH2R, TRO","General","Negative","LD [no data under SD]","Single mutant: ash2r homozygous mutant is not viable. [Jiang et al., 2011]RNA interference : RNAi downregulation of ASH2R leads to early flowering under LD conditions. ( No data under SD conditions.) [Jiang et al., 2011] Overexpressor: ASH2R overexpressor is late flowering under LD conditions. ( No data under SD conditions.) [Jiang et al., 2011] Remarks: ASH2R encodes a structural core component of the COMPASS-like complex, which is involved in the positive regulation of FLC expression. Thus, ASH2R overexpression results in increased FLC expression level. [Jiang et al., 2011]","AT1G51450","FLC regulation through protein complexesGeneral processes & autonomous pathway","Aquea F et al., 2010, J. Exp. Bot.Jiang D et al., 2011, PLoS Genet."
"ARABIDOPSIS SNF1 KINASE HOMOLOG 10 , SNF1-RELATED PROTEIN KINASE 1.1","AKIN10, SNRK1.1","Sugar","Negative","LD [no data under SD]","Single mutant: akin10 single mutant does not display any flowering-time phenotype. [Jeong et al., 2015] Overexpressor: AKIN10 overexpressor is late flowering under LD conditions. ( No data under SD conditions.) [Baena-González et al., 2007][Jeong et al., 2015][Tsai et al., 2012] Remarks: AKIN10 physically interacts with IDD8 in the nucleus. This interaction mediates the activity of IDD8 .[Jeong et al., 2015] Remarks: The mutation of AKIN10 increases the late flowering-time phenotype of the idd8 mutant. [Jeong et al., 2015]","AT3G01090","Sugar pathway","Le Guen L et al., 1992, GeneFarrás R et al., 2001, EMBO J.Baena-González E et al., 2007, NatureZhang Y et al., 2009, Plant Physiol.Jossier M et al., 2009, Plant J.Fragoso S et al., 2009, Plant Physiol.Delatte T L et al., 2011, Plant Physiol.Tsai A Y et al., 2012, Plant J.Rodrigues A et al., 2013, Plant CellNietzsche M et al., 2014, Front Plant SciJeong E et al., 2015, BMC Plant Biol.OBrien M et al., 2015, J. Exp. Bot.Emanuelle S et al., 2015, Plant J."
"ARABIDOPSIS THALIANA CENTRORADIALIS","ATC","Photoperiodism, light perception and  signaling","Negative","SD and LD","Overexpressor: ATC overexpressor is late flowering under both SD and LD conditions. [Mimida et al., 2001] Single mutant: atc single mutant does not display any flowering-time phenotype under LD conditions but some mutant lines display an early-flowering phenotype under SD conditions only. Further experiments are required to confirm this flowering-time phenotype. [Mimida et al., 2001][Huang et al., 2012]","AT2G27550","Photoperiod pathway","Mimida N et al., 2001, Genes CellsHuang N et al., 2012, Plant J."
"ARABIDOPSIS THALIANA PROTEIN ARGININE METHYLTRANSFERASE 10","ATPRMT10","General","Positive","SD and LD","Single mutant: atprmt10 single mutant is late flowering under both SD and LD conditions. [Niu et al., 2007] Remarks: Vernalization or flc mutation supress the late-flowering phenotype of atprm10 mutants. [Niu et al., 2007] Remarks: atprmt10 single mutant shows slightly higher FLC expression levels, but not as much as in fca, fy, fpa, fld, and flk mutants. [Niu et al., 2007]","AT1G04870","General processes & autonomous pathway","Niu L et al., 2007, EMBO Rep.Niu L et al., 2008, Plant Physiol.Cheng Y et al., 2011, J. Mol. Biol.Niu L et al., 2012, Protein Cell"
"ARABIDOPSIS TRITHORAX-RELATED 7 , SET DOMAIN PROTEIN 25","ATXR7, SDG25","General","Negative","SD and LD","Single mutant: atxr7 single mutant is early flowering under both SD and LD conditions. ( atx7 single mutant supresses the late flowering of the Col FRI background.)[Tamada et al., 2009] Remarks: ATXR7 deposits H3K4me3 activating marks at the FLC locus, thus repressing flowering.[Tamada et al., 2009]","AT5G42400","Time-course regulation of photoperiodic pathwayFLC regulation through protein complexesGeneral processes & autonomous pathway","Tamada Y et al., 2009, Plant CellBerr A et al., 2009, Plant Physiol."
"ASYMMETRIC LEAVES 1","AS1","Photoperiodism, light perception and  signaling","Positive","SD only","Single mutant: as1 single mutant is late flowering under SD conditions only.( as1 single mutant is also late flowering under 12h-light - 12h-dark.) [Song et al., 2012]Remarks: AS1 interacts with CONSTANS and binds to the promoter of FT. [Song et al., 2012]","AT2G37630","Hormone pathwayPhotoperiod pathwayTime-course regulation of photoperiodic pathway","Byrne M E et al., -1, NatureByrne M E et al., 2002, DevelopmentXu L et al., 2003, DevelopmentHay A et al., 2006, DevelopmentGuo M et al., 2008, Plant CellSong Y H et al., 2012, Plant J.Iwasaki M et al., 2013, Development"
"AT-HOOK MOTIF NUCLEAR-LOCALIZED PROTEIN 22","AHL22","General","Negative","SD and LD","RNA interference : ahl18;ahl22;ahl27;ahl28 multiple RNAi knockdown transgenic line is early flowering under both SD and LD conditions.[Xiao et al., 2009] Overexpressor: AHL22 overexpressor is late flowering under LD conditions. [Xiao et al., 2009][Yun et al., 2012]","AT2G45430","Time-course regulation of photoperiodic pathwayGeneral processes & autonomous pathway","Xiao C et al., 2009, Plant Mol. Biol.Yun J et al., 2012, J. Biol. Chem."
"AT-STUbl4","AT-STUbl4","Photoperiodism, light perception and  signaling","Positive","SD and LD","Remarks: AT-STUbl4 regulates the stability of CDF proteins, which are known to be involved in the repression of CONSTANS expression.[Elrouby et al., 2013] Overexpressor: AT-STUBL4 overexpressor is early flowering under both SD and LD conditions. [Elrouby et al., 2013] Single mutant: at-stubl4 single mutant is late flowering under both SD and LD conditions.[Elrouby et al., 2013]","AT1G66650","Photoperiod pathway","Elrouby N et al., 2013, Proc. Natl. Acad. Sci. U.S.A."
"AtRRP6L1","RRP6L1","General","Positive","LD [no data under SD]","Multiple mutant: rrp6l1;rrp6l2 multiple mutant is late flowering under both SD and LD conditions. [Shin et al., 2014] Remarks: rrp6l1;rrp6l2 multiple mutant has increased FLC expression levels. [Shin et al., 2014] Single mutant: rrp6l1 single mutant is very slightly late flowering under LD conditions. ( No data under SD conditions.).[Shin et al., 2014]","AT1G54440","General processes & autonomous pathway","Lange H et al., 2008, Mol. Cell. Biol.Zhang H et al., 2014, Mol. CellShin J et al., 2014, PLoS Genet.Hsu Y et al., 2014, Mol Plant"
"AtRRP6L2","RRP6L2","General","Positive","LD [no data under SD]","Multiple mutant: rrp6l1;rrp6l2 multiple mutant is late flowering under both SD and LD conditions. [Shin et al., 2014] Remarks: rrp6l1;rrp6l2 multiple mutant has increased FLC expression levels. [Shin et al., 2014] Single mutant: rrp6l1 single mutant is very slightly late flowering under LD conditions. ( No data under SD conditions.).[Shin et al., 2014]","AT5G35910","General processes & autonomous pathway","Lange H et al., 2008, Mol. Cell. Biol.Shin J et al., 2014, PLoS Genet."
"ATSIZ1","SIZ1","General","Negative","SD and LD","Single mutant: siz1 single mutant is early flowering under both SD and LD conditions. [Jin et al., 2008][Lazaro et al., 2012]","AT5G60410","General processes & autonomous pathway","Miura K et al., 2005, Proc. Natl. Acad. Sci. U.S.A.Catala R et al., 2007, Plant CellJin J B et al., 2008, Plant J.Jin J B et al., 2008, Plant Signal BehavMiura K et al., 2009, Proc. Natl. Acad. Sci. U.S.A.Park B S et al., 2011, Nat CommunMiura K et al., 2011, Plant Physiol.Zheng Y et al., 2012, Proc. Natl. Acad. Sci. U.S.A.Son G H et al., 2014, J. Exp. Bot."
"AUXIN RESPONSE FACTOR 3 , ETTIN","ARF3, ETT","Flower development and meristem identity",,"None","Remarks: ARF3 is regulated by AP2 and confers floral meristem determinacy through repression of WUS expression. [Liu et al., 2014] Remarks: arf3 single mutant shows an accelerated transition from the juvenile to the adult phase. [Hunter et al., 2006] Single mutant: arf3 single mutant displays several flower defects, including an increased number of petals and sepals, as well as a decreased number of stamens and anthers. [Sessions et al., 1995][Sessions et al., 1997][ et al., ][Nemhauser et al., 2000] Remarks: Remarks","AT2G33860",,"Sessions R A et al., 1995, DevelopmentSessions A et al., 1997, DevelopmentNemhauser J L et al., 2000, DevelopmentHunter C et al., 2006, DevelopmentFahlgren N et al., 2006, Curr. Biol.Kelley D R et al., 2012, DevelopmentTantikanjana T et al., 2012, Proc. Natl. Acad. Sci. U.S.A.Cheng Z J et al., 2013, Plant Physiol.Liu X et al., 2014, Plant J."
"B-BOX DOMAIN PROTEIN 19","BBX19","Photoperiodism, light perception and  signaling","Negative","LD [no data under SD]","Overexpressor: BBX19 overexpressor is late flowering under LD conditions.( No data available under SD conditions.) [Wang et al., 2014] RNA interference : RNAi downregulation of BBX19 leads to slightly early flowering under LD conditions. ( No data available under SD conditions.) [Wang et al., 2014] Remarks : BBX19 interacts with CO under inductive photoperiod to prevent the induction of FT expression.[Wang et al., 2014]","AT4G38960","Photoperiod pathway","Wang C et al., 2014, Plant Cell"
"BAF60, CHC1","BAF60, CHC1","General","Positive","LD only","Remarks: RNAi downregulation of BAF60 expression leads to increased FLC expression levels. [Jégu et al., 2014] RNA interference : RNAi downregulation of BAF60 leads to late flowering under LD conditions. Under SD conditions, RNAi lines display a normal flowering-time but produce less leaves before bolting. [Jégu et al., 2014]","AT5G14170","General processes & autonomous pathway","Campi M et al., 2012, Plant Physiol.Jégu T et al., 2014, Plant Cell"
"BLADE ON PETIOLE 1","BOP1","Flower development and meristem identity",,"None","Single mutant: bop1 single mutant shows blade outgrowths along the adaxial side of cotyledon and rosette leaf petioles.[Ha et al., 2004][Ha et al., 2003] Multiple mutant: bop1;bop2 multiple mutant shows subtle defects in inflorescence and floral architecture and has synergistic effects with lfy and ap1 mutations.  Overexpressor: BOP1 overexpressor has a compact stature and hyponastic leaves but does not display any floral defect.[Ha et al., 2007][Norberg et al., 2005][Khan et al., 2012]","AT3G57130",,"Ha C M et al., 2003, DevelopmentHa C M et al., 2004, Plant Cell Physiol.Norberg M et al., 2005, DevelopmentHa C M et al., 2007, Plant CellXu M et al., 2010, Plant J.Jun J H et al., 2010, Plant CellHa C M et al., 2010, GeneticsSaleh O et al., 2011, Plant J.Khan M et al., 2012, Plant Signal BehavCanet J V et al., 2012, BMC Plant Biol.Khan M et al., 2012, Plant Physiol."
"BLADE ON PETIOLE 2","BOP2","Flower development and meristem identity",,"None","Multiple mutant: bop1;bop2 multiple mutant shows subtle defects in inflorescence and floral architecture and has synergistic effects with lfy and ap1 mutations.  Overexpressor: BOP2 overexpressor has a compact stature and hyponastic leaves but does not display any floral defect.[Ha et al., 2007][Norberg et al., 2005][Khan et al., 2012] Single mutant: bop2-11 single mutant has normal rosette leaf morphogenesis but fequently forms fused inflorescences. [Ha et al., 2007]","AT2G40360",,"Norberg M et al., 2005, DevelopmentHa C M et al., 2007, Plant CellXu M et al., 2010, Plant J.Jun J H et al., 2010, Plant CellHa C M et al., 2010, GeneticsSaleh O et al., 2011, Plant J.Khan M et al., 2012, Plant Signal BehavCanet J V et al., 2012, BMC Plant Biol.Khan M et al., 2012, Plant Physiol."
"BMI1C","AtBMI1C","General","Positive","SD and LD","artificial microRNA: Downregulation of ATBMI1C by an artificial microRNA does not alter flowering time. [Li et al., 2011] Overexpressor: AtBMI1C overexpressor is early flowering under both SD and LD conditions. [Li et al., 2011] Remarks: Remarks","AT3G23060","FLC regulation through protein complexesGeneral processes & autonomous pathway","Bratzel F et al., 2010, Curr. Biol.Li W et al., 2011, PLoS ONE"
"BRAHMA, CHROMATIN REMODELING 2","BRM, CHR2","General","Negative","SD and LD","Single mutant: brm single mutant is early flowering under both SD and LD conditions. [Li et al., 2015][Farrona et al., 2011] Remarks: brm single mutant has reduced FLC and SVP expression levels. [Li et al., 2015][Farrona et al., 2011]","AT2G46020","General processes & autonomous pathway","Bezhani S et al., 2007, Plant CellTang X et al., 2008, Plant Physiol.Archacki R et al., 2009, PlantaFarrona S et al., 2011, PLoS ONEWu M et al., 2012, Proc. Natl. Acad. Sci. U.S.A.Archacki R et al., 2013, PLoS ONELi C et al., 2015, PLoS Genet."
"BRANCHED 1 , TCP DOMAIN PROTEIN 18","BRC1, TCP18","Flower development and meristem identity","Negative","LD [no data under SD]","Single mutant: After floral induction, brc1 single mutant develops more primary rosettes branches. No flowering-time phenotype described. [Aguilar-Martínez et al., 2007] Remarks: BRC1 interacts with FT and TSF to repress floral transitions of the axillary meristems. [Niwa et al., 2013] Overexpressor: Constitutive overexpression of BRC1 leads to pleiotropic defects while overexpression of BRC1 in the SAM leads to a late-flowering phenotype under both SD and LD conditions. ( Phenotype stronger under LD conditions.) [Niwa et al., 2013][Aguilar-Martínez et al., 2007]","AT3G18550","Photoperiod pathwaySpecification of flower mersitems","Aguilar-Martínez J A et al., 2007, Plant CellPoza-Carrión C et al., 2007, Plant Signal BehavFinlayson S A et al., 2010, Plant Physiol.Niwa M et al., 2013, Plant CellGonzález-Grandío E et al., 2013, Plant Cell"
"BROTHER OF FT","BFT","General","Negative","LD only","Overexpressor: BFT overexpressor is late flowering under LD conditions only and displays floral defects similar to 35S::TFL1 transgenic lines. [Yoo et al., 2010] Single mutant : bft single mutant has no flowering-time phenotype. However, bft single mutant and RNAi lines show modified inflorescences in the tfl1 single-mutant background. [Yoo et al., 2010] Remarks: bft mutant shows increased tolerance to salt stress. [Ryu et al., 2014]","AT5G62040","General processes & autonomous pathway","Yoo S J et al., 2010, Plant J.Ryu J Y et al., 2011, Mol. CellsRyu J Y et al., 2014, Mol Plant"
"CADMIUM SENSITIVE 2 , ROOT MERISTEMLESS 1 , GLUTAMATE-CYSTEINE LIGASE","CAD2, RML1, GSH1","General","Positive","LD [no data under SD]","Single mutant: cad2-1 single mutant is late flowering under LD conditions. ( No data available under SD conditions.) [Ogawa et al., 2001]","AT4G23100","General processes & autonomous pathway","May M J et al., 1994, Proc. Natl. Acad. Sci. U.S.A.Cheng J C et al., 1995, Plant Physiol.Cobbett C S et al., 1998, Plant J.Vernoux T et al., 2000, Plant CellOgawa K et al., 2001, Plant Cell Physiol.Hatano-Iwasaki A et al., 2012, Plant Cell Physiol.Schnaubelt D et al., 2013, Front Plant Sci"
